"glytoucan_ac","sequence_byonic"
"G00002CF","Hex(2)NeuGc(2) % 956.29687423"
"G00009BX","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G00012MO","Hex(3)HexNAc(1) % 707.248407805"
"G00012RZ","Hex(6)HexNAc(5)dHex(3)NeuAc(1) % 2734.99351197"
"G00013MO","Hex(4) % 666.2218587"
"G00014MO","Hex(2)HexNAc(2) % 748.27495691"
"G00015MO","Hex(3)HexNAc(1) % 707.248407805"
"G00016MO","Hex(2) % 342.1162117"
"G00017MO","HexNAc(2)HexA(2) % 776.23348603"
"G00018MO","HexNAc(2)HexA(2)S(2) % 936.14711521"
"G00019MO","HexNAc(2)HexA(2)S(2) % 936.14711521"
"G00020MO","Hex(2)HexNAc(2)S(2) % 908.18858609"
"G00024MO","Hex(3) % 504.1690352"
"G00025AJ","Hex(2)dHex(1)aldi(1) % 490.18977064"
"G00025MO","Hex(4) % 666.2218587"
"G00025YC","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G00026MO","Hex(3)HexNAc(2) % 910.32778041"
"G00027JG","Hex(2)HexNAc(2)dHex(2) % 1040.39077465"
"G00027MO","Hex(3)HexNAc(1) % 707.248407805"
"G00028MO","Hex(5)HexNAc(2) % 1234.43342741"
"G00029MO","Hex(4)HexNAc(3) % 1275.45997651"
"G00030HB","Hex(8)HexNAc(5)dHex(1)NeuAc(1) % 2766.98334123"
"G00030MO","Hex(3)HexNAc(4) % 1316.48652562"
"G00031MO","Hex(1)HexNAc(1) % 383.142760805"
"G00032MO","Hex(1)HexNAc(1) % 383.142760805"
"G00033MO","Hex(1)HexNAc(2) % 586.22213341"
"G00034MO","Hex(1)HexNAc(2) % 586.22213341"
"G00034WH","Hex(6) % 990.3275057"
"G00035MO","HexNAc(2) % 424.16930991"
"G00036MO","HexNAc(2) % 424.16930991"
"G00037MO","HexNAc(3) % 627.248682515"
"G00038MO","HexNAc(3) % 627.248682515"
"G00039MO","HexNAc(2) % 424.16930991"
